,raceid,date,crewtype,racetype,file,number,teams,racename,distance,team,time,minutes,seconds,time_in_secs
22848,9560,2017-04-01,MHV,Final,RowData2017.csv,2,"['DART', 'COLU']",Columbia vs. Dartmouth,2000.0,COLU,06:58.3,6,58.3,418.3
22849,9561,2017-04-01,MHV,Final,RowData2017.csv,1,"['CORN#', 'HOBR']",Cayuga Duals: PM pairings,2000.0,CORN#,06:17.0,6,17.0,377.0
22850,9561,2017-04-01,MHV,Final,RowData2017.csv,2,"['CORN#', 'HOBR']",Cayuga Duals: PM pairings,2000.0,HOBR,06:25.2,6,25.2,385.2
22851,9562,2017-04-01,MHV,Final,RowData2017.csv,1,"['CORN#', 'BUCK']",Cayuga Duals: AM Pairings,2000.0,CORN#,06:09.0,6,9.0,369.0
22852,9562,2017-04-01,MHV,Final,RowData2017.csv,2,"['CORN#', 'BUCK']",Cayuga Duals: AM Pairings,2000.0,BUCK,06:24.5,6,24.5,384.5
22853,9563,2017-04-01,MHV,Final,RowData2017.csv,1,"['COLU', 'MIT']",Alumni Cup,2000.0,COLU,07:12.5,7,12.5,432.5
22854,9563,2017-04-01,MHV,Final,RowData2017.csv,2,"['COLU', 'MIT']",Alumni Cup,2000.0,MIT,07:29.9,7,29.9,449.9
22855,9564,2017-04-01,MHV,Final,RowData2017.csv,1,"['CINC', 'DAYT', 'MIOH', 'JCAR', 'XAV']",Cincinnati Regatta,2000.0,CINC,06:42.2,6,42.2,402.2
22856,9564,2017-04-01,MHV,Final,RowData2017.csv,2,"['CINC', 'DAYT', 'MIOH', 'JCAR', 'XAV']",Cincinnati Regatta,2000.0,DAYT,06:43.6,6,43.6,403.6
22857,9564,2017-04-01,MHV,Final,RowData2017.csv,3,"['CINC', 'DAYT', 'MIOH', 'JCAR', 'XAV']",Cincinnati Regatta,2000.0,MIOH,07:26.7,7,26.7,446.7
22858,9564,2017-04-01,MHV,Final,RowData2017.csv,4,"['CINC', 'DAYT', 'MIOH', 'JCAR', 'XAV']",Cincinnati Regatta,2000.0,JCAR,07:50.8,7,50.8,470.8
22859,9564,2017-04-01,MHV,Final,RowData2017.csv,5,"['CINC', 'DAYT', 'MIOH', 'JCAR', 'XAV']",Cincinnati Regatta,2000.0,XAV,07:51.9,7,51.9,471.9
22860,9565,2017-04-01,MHV,Final,RowData2017.csv,1,"['BUCK', 'MERC']",Cayuga Duals: PM pairings,2000.0,BUCK,06:28.0,6,28.0,388.0
22861,9565,2017-04-01,MHV,Final,RowData2017.csv,2,"['BUCK', 'MERC']",Cayuga Duals: PM pairings,2000.0,MERC,06:41.8,6,41.8,401.8
22862,9566,2017-04-01,WHV,Heat,RowData2017.csv,1,"['TENN', 'LOMY', 'GW', 'STJO', 'STMY', 'SCLA']",San Diego Crew Classic,1.0,TENN,06:50.7,6,50.7,410.7
22863,9566,2017-04-01,WHV,Heat,RowData2017.csv,2,"['TENN', 'LOMY', 'GW', 'STJO', 'STMY', 'SCLA']",San Diego Crew Classic,1.0,LOMY,06:53.4,6,53.4,413.4
22864,9566,2017-04-01,WHV,Heat,RowData2017.csv,3,"['TENN', 'LOMY', 'GW', 'STJO', 'STMY', 'SCLA']",San Diego Crew Classic,1.0,GW,06:56.4,6,56.4,416.4
22865,9566,2017-04-01,WHV,Heat,RowData2017.csv,4,"['TENN', 'LOMY', 'GW', 'STJO', 'STMY', 'SCLA']",San Diego Crew Classic,1.0,STJO,07:05.7,7,5.7,425.7
22866,9566,2017-04-01,WHV,Heat,RowData2017.csv,5,"['TENN', 'LOMY', 'GW', 'STJO', 'STMY', 'SCLA']",San Diego Crew Classic,1.0,STMY,07:08.1,7,8.1,428.1
22867,9566,2017-04-01,WHV,Heat,RowData2017.csv,6,"['TENN', 'LOMY', 'GW', 'STJO', 'STMY', 'SCLA']",San Diego Crew Classic,1.0,SCLA,07:28.4,7,28.4,448.4
22868,9567,2017-04-01,MHV,Heat,RowData2017.csv,1,"['YALE', 'STAN', 'UVIC']",San Diego Crew Classic,1.0,YALE,05:42.8,5,42.8,342.8
22869,9567,2017-04-01,MHV,Heat,RowData2017.csv,2,"['YALE', 'STAN', 'UVIC']",San Diego Crew Classic,1.0,STAN,05:46.5,5,46.5,346.5
22870,9567,2017-04-01,MHV,Heat,RowData2017.csv,3,"['YALE', 'STAN', 'UVIC']",San Diego Crew Classic,1.0,UVIC,05:53.9,5,53.9,353.9
22871,9568,2017-04-01,MHV,Heat,RowData2017.csv,1,"['UCSD', 'GV', 'GONZ', 'CALM', 'CSLB']",San Diego Crew Classic,1.0,UCSD,06:13.9,6,13.9,373.9
22872,9568,2017-04-01,MHV,Heat,RowData2017.csv,2,"['UCSD', 'GV', 'GONZ', 'CALM', 'CSLB']",San Diego Crew Classic,1.0,GV,06:17.4,6,17.4,377.4
22873,9568,2017-04-01,MHV,Heat,RowData2017.csv,3,"['UCSD', 'GV', 'GONZ', 'CALM', 'CSLB']",San Diego Crew Classic,1.0,GONZ,06:28.0,6,28.0,388.0
22874,9568,2017-04-01,MHV,Heat,RowData2017.csv,4,"['UCSD', 'GV', 'GONZ', 'CALM', 'CSLB']",San Diego Crew Classic,1.0,CALM,06:31.5,6,31.5,391.5
